km2	Square_kilometre
m2	Square_metre
cm2	Square_centimetre
mm2	Square_millimetre
ha	Hectare
sqmi	Square_mile
acre	Acre
sqyd	Square_yard
sqft	Square_foot
sqfoot	Square_foot
sqin	Square_inch
sqnmi	Nautical_mile
dunam	Dunam
tsubo	Japanese_units_of_measurement#Area
kg/m3	Density
g/m3	Density
lb/ft3	Density
lb/yd3	Density
GJ	Joule
MJ	Megajoule
kJ	Kilojoule
hJ	Joule
daJ	Joule
J	Joule
dJ	Joule
cJ	Joule
mJ	Joule
µJ 	Joule
uJ	Joule
nJ	Joule
Merg	Erg
kerg	Erg
erg	Erg
TWh	Watt-hour
GWh	Watt-hour
MWh	Watt-hour
kWh	Watt-hour
Wh	Watt-hour
GeV	Electronvolt
MeV	Electronvolt
keV	Electronvolt
eV	Electronvolt
meV	Electronvolt
Cal	Calorie
ftpdl	Foot-poundal
ftlbf	Foot-pound_(energy)
inlbf	Foot-pound_(energy)
inozf	Foot-pound_(energy)
hph	Horsepower
Btu	British_thermal_unit
GtTNT	TNT_equivalent
MtTNT	TNT_equivalent
ktTNT	TNT_equivalent
tTNT	TNT_equivalent
Eh	Hartree
Ry	Rydberg_constant
toe	Tonne_of_oil_equivalent
BOE	Barrel_of_oil_equivalent
latm	Atmosphere_(unit)
impgalatm	Atmosphere_(unit)
USgalatm	Atmosphere_(unit)
usgalatm	Atmosphere_(unit)
GN	Newton_(unit)
MN	Newton_(unit)
kN	Newton_(unit)
N	Newton_(unit)
mN	Newton_(unit)
µN 	Newton_(unit)
uN	Newton_(unit)
nN	Newton_(unit)
Mdyn	Dyne
kdyn	Dyne
dyn	Dyne
dyne	Dyne
mdyn	Dyne
t-f	Ton-force#Tonne-force
kg-f	Kilogram-force
g-f	Kilogram-force
mg-f	Kilogram-force
pdl	Poundal
LT-f	Long_ton-force
ST-f	Short_ton-force
lb-f	Pound-force
gr-f	Pound-force
Mm	Megametre
km	Kilometre
m	Metre
cm	Centimetre
mm	Millimetre
µm 	Micrometre
um	Micrometre
nm	Nanometre
Å	Angstrom
angstrom	Angstrom
mi	Mile
furlong	Furlong
chain	Chain_(unit)
rd	Rod_(unit)
fathom	Fathom
yd	Yard
ft 	Foot_(unit)
foot	Foot_(unit)
in	Inch
nmi	Nautical_mile
pc	Parsec
ly	Light-year
AU	Astronomical_unit
kg	Kilogram
g	Gram
mg	Milligram
µg 	Microgram
ug	Microgram
t	Tonne
LT	Long_ton
ST	Short_ton
st	Stone_(unit)
lb	Pound_(mass)
oz	Ounce
drachm	Dram_(unit)
gr	Grain_(unit)
ozt	Troy_ounce
carat	Carat_(mass)
m/s	Metre_per_second
km/h	Kilometres_per_hour
mph	Miles_per_hour
ft/s 	Feet_per_second
foot/s	Feet_per_second
kn 	Knot_(unit)
knot	Knot_(unit)
K	Kelvin
Nm	Newton_metre
N.m	Newton_metre
m3	Cubic_metre
cm3	Cubic_centimetre
mm3	Cubic_millimetre
kl	Kilolitre
l	Litre
cl	Centilitre
ml	Millilitre
cuyd	Cubic_yard
cuft 	Cubic_foot
cufoot	Cubic_foot
cuin	Cubic_inch
impbbl	Barrel_(unit)
impbsh	Imperial_bushel
impgal	Imperial_gallon
impqt	Imperial_units
imppt	Imperial_pint
impoz 	Imperial_fluid_ounce
impfloz	Imperial_fluid_ounce
USbbl	Barrel_(unit)
oilbbl	Barrel_(unit)#Oil_barrel
USbeerbbl	Barrel_(unit)
usbeerbbl	Barrel_(unit)
USgal	US_gallon
USqt	United_States_customary_units
USpt	Pint
USoz	US_fluid_ounce
USfloz	US_fluid_ounce
USdrybbl	Barrel_(unit)
USbsh	Bushel
USbu	Bushel
USdrygal	Gallon
USdryqt	Quart
USdrypt	Pint
GPa	Pascal_(unit)
MPa	Pascal_(unit)
kPa	Pascal_(unit)
hPa	Pascal_(unit)
Pa	Pascal_(unit)
mPa	Pascal_(unit)
mbar	Bar_(unit)
dbar	Bar_(unit)
bar	Bar_(unit)
kBa	Barye
Ba	Barye
atm	Atmosphere_(unit)
Torr	Torr
mmHg	Millimeter_of_mercury
inHg	Inch_of_mercury
psi	Pounds_per_square_inch
$/ozt	Troy_ounce
Mly	Light-year
AU	Astronomical_unit
